000000100	0 0 0 0 0 0 50 0 0 
000010102	0 0 0 0 14 0 1 0 0 
021010102	0 0 14 0 0 0 0 0 0 
000000010	0 0 0 0 0 0 0 17 0 
010020010	0 14 0 0 0 0 0 0 0 
010021210	0 0 0 0 0 6 0 0 0 
011021212	0 0 6 0 0 0 0 0 0 
111221212	6 0 0 0 0 0 0 0 0 
100000000	34 0 0 0 0 0 0 0 0 
110000020	0 4 0 0 0 0 0 0 0 
111020020	0 0 4 0 0 0 0 0 0 
000000001	0 0 0 0 0 0 0 0 13 
002010001	0 0 0 0 3 0 0 0 0 
102010201	3 0 0 0 0 0 0 0 0 
110020210	1 0 0 0 0 0 0 0 0 
110120212	0 0 0 1 0 0 0 0 0 
111122212	0 0 1 0 0 0 0 0 0 
100200001	0 0 0 0 0 0 0 0 7 
120210001	0 0 0 0 7 0 0 0 0 
000012100	0 0 0 0 6 0 0 0 0 
000212101	0 0 0 0 0 0 0 0 6 
102212101	6 0 0 0 0 0 0 0 0 
000010000	0 0 0 0 45 0 0 0 0 
100012000	5 0 0 0 0 0 0 0 0 
100212001	0 0 0 0 0 0 0 0 5 
001002100	0 0 5 0 0 0 0 0 0 
001122100	0 0 0 5 0 0 0 0 0 
201122101	0 0 0 4 0 0 0 0 5 
221122111	0 0 0 0 0 0 0 5 0 
200010010	0 0 0 0 3 0 0 2 0 
210210010	0 3 0 0 0 0 0 0 0 
000010021	0 0 0 0 5 0 0 0 0 
102010021	5 0 0 0 0 0 0 0 0 
100020001	4 0 0 0 0 0 0 0 22 
102020101	0 0 0 0 0 0 21 0 0 
102122101	0 0 0 6 0 0 0 0 0 
200010100	0 0 0 0 0 0 18 0 0 
201010120	0 0 5 0 0 0 0 0 0 
200010001	0 0 0 0 0 0 0 0 9 
200010121	0 0 0 0 0 0 4 0 0 
212010121	0 4 0 0 0 0 0 0 3 
212211121	0 0 0 0 0 7 0 0 0 
102022111	0 0 0 0 0 0 0 4 0 
201000100	0 0 4 0 0 0 2 0 0 
201020101	0 0 0 0 0 0 0 0 18 
201021121	0 0 0 0 0 4 0 0 0 
221010010	0 0 2 0 0 0 0 0 0 
221210110	0 0 0 0 0 0 2 0 0 
210020011	0 0 0 0 0 0 0 0 7 
210220111	0 0 0 0 0 0 7 0 0 
201210100	0 0 6 0 0 0 0 0 0 
221010001	0 0 5 0 0 0 0 0 0 
221211001	0 0 0 0 0 5 0 0 0 
200000110	0 0 0 0 0 0 0 4 0 
200020111	0 0 0 0 0 0 0 0 4 
001000000	0 0 2 0 0 0 0 0 0 
201000121	0 0 0 0 0 0 0 0 2 
211020121	0 2 0 0 0 0 0 0 0 
211221121	0 0 0 0 0 2 0 0 0 
120100000	0 0 0 1 0 0 0 0 0 
120121000	0 0 0 0 0 1 0 0 0 
120121201	0 0 0 0 0 0 0 0 1 
000001000	0 0 0 0 0 1 0 0 0 
000021001	0 0 0 0 0 0 0 0 1 
002021011	0 0 0 0 0 0 0 1 0 
000001021	0 0 0 0 0 1 0 0 0 
100021021	1 0 0 0 0 0 0 0 0 
112021021	0 1 0 0 0 0 0 0 0 
000100000	0 0 0 1 0 0 0 0 0 
020101000	0 0 0 0 0 1 0 0 0 
220101001	0 0 0 0 0 0 0 0 1 
220121011	0 0 0 0 0 0 0 1 0 
221121211	0 0 1 0 0 0 0 0 0 
102220111	0 0 0 0 0 0 0 11 0 
001020100	0 0 14 0 0 0 0 0 0 
211122121	0 4 0 0 0 0 0 0 0 
202010101	0 0 0 0 0 0 0 0 4 
202110121	0 0 0 4 0 0 0 0 0 
201022111	0 0 0 0 0 0 0 10 0 
212010100	0 3 0 0 0 0 0 0 0 
200110000	0 0 0 3 0 0 0 0 0 
210112000	0 3 0 0 0 0 0 0 0 
211112020	0 0 3 0 0 0 0 0 0 
211112221	0 0 0 0 0 0 0 0 3 
101020201	0 0 5 0 0 0 0 0 0 
121021201	0 0 0 0 0 4 0 0 0 
000020110	0 0 0 0 0 0 0 3 0 
100020112	3 0 0 0 0 0 0 0 0 
100221112	0 0 0 0 0 3 0 0 0 
112221112	0 3 0 0 0 0 0 0 0 
000010012	0 0 0 0 0 0 0 3 0 
010010212	0 3 0 0 0 0 0 0 0 
000110002	0 0 0 2 0 0 0 0 0 
000111202	0 0 0 0 0 2 0 0 0 
002011102	0 0 0 0 0 1 0 0 0 
102211102	1 0 0 0 0 0 0 0 0 
122211112	0 0 0 0 0 0 0 1 0 
000011002	0 0 0 0 0 1 0 0 0 
001011202	0 0 1 0 0 0 0 0 0 
021111202	0 0 0 1 0 0 0 0 0 
121020211	0 0 0 0 0 0 0 1 0 
121221211	0 0 0 0 0 1 0 0 0 
100010002	1 0 0 0 0 0 0 0 0 
100010212	0 0 0 0 0 0 0 1 0 
110210212	0 1 0 0 0 0 0 0 0 
000010200	0 0 0 0 0 0 8 0 0 
002010201	0 0 3 0 0 0 0 0 0 
200010201	3 0 0 0 0 0 0 0 0 
200112201	0 0 0 0 0 3 0 0 0 
221112201	0 3 0 0 0 0 0 0 0 
000010221	0 0 0 0 0 0 0 2 0 
000210000	0 0 0 3 0 0 0 0 0 
002210100	0 0 3 0 0 0 0 0 0 
202210101	3 0 0 0 0 0 0 0 0 
212210121	0 0 0 0 0 0 0 2 0 
200010000	1 0 0 0 0 0 0 0 0 
212212101	0 0 0 0 0 1 0 0 0 
